Year;Name
1750;veniaminof
1645;aniakchak
1610;santorini
1550;redoubt
1460;taupo
1370;pago
1050;pinatubo
1010;tungurahua
455;cotopaxi
250;raoul island
197;santorini
150;st. andrew strait
141;etna
100;okmok
50;apoyeque
46;santorini
50;ambrym
60;bona-churchill
